# reference: hg38
# gene spans from gencode.v46.basic.annotation.gtf.gz
# coordinates are 1-based inclusive gene spans; only valid for the reference declared above
gene	chrom	start	end	panel	notes
CAMTA1	chr1	6785454	7769706	sarcoma	WWTR1-CAMTA1; epithelioid haemangioendothelioma
SDHB	chr1	17018664	17054151	sarcoma	SDH-deficient GIST and paraganglioma
PAX7	chr1	18630846	18748866	sarcoma	PAX7-FOXO1; alveolar rhabdomyosarcoma
MEAF6	chr1	37489993	37514766	sarcoma	MEAF6-PHF1; ossifying fibromyxoid tumour
JUN	chr1	58776845	58784048	sarcoma	1p32 amplification in DDLPS
TGFBR3	chr1	91680343	91906335	sarcoma	TGFBR3-OGA lipofibromatosis-like neural tumour
CSF1	chr1	109910242	109930992	sarcoma	COL6A3-CSF1; tenosynovial giant cell tumour
NRAS	chr1	114704469	114716771	sarcoma	RAS signalling
TPM3	chr1	154155308	154194648	sarcoma	TPM3-NTRK1 / ALK fusion partner
NTRK1	chr1	156815636	156881850	sarcoma	Kinase fusions; infantile fibrosarcoma-like
SDHC	chr1	161314381	161363206	sarcoma	SDH-deficient GIST; Carney triad
MDM4	chr1	204516379	204558120	sarcoma	p53 negative regulator; 1q32 amplification
H3-3A	chr1	226061851	226072019	sarcoma	H3F3A G34W; giant cell tumour of bone
EPC1	chr10	32267751	32378798	sarcoma	EPC1-PHF1; endometrial stromal sarcoma
RET	chr10	43077064	43130351	sarcoma	Kinase fusions
PTEN	chr10	87862638	87971930	sarcoma	PI3K pathway tumour suppressor
OGA	chr10	101784443	101818465	sarcoma	MGEA5; TGFBR3-OGA lipofibromatosis-like tumour
FGFR2	chr10	121478332	121598458	sarcoma	RTK fusion and amplification
DUX4L10	chr10	133743332	133744598	sarcoma	10q26 D4Z4 paralog; CIC-DUX4L partner
WT1	chr11	32387775	32435564	sarcoma	EWSR1-WT1; desmoplastic small round cell tumour
CREB3L1	chr11	46277662	46321409	sarcoma	FUS-CREB3L1; low-grade fibromyxoid sarcoma
SDHAF2	chr11	61430042	61446839	sarcoma	SDH complex assembly; SDH-deficient GIST
