# reference: hg38
# SV genes (applies_to blank or 'sv'): gene spans from NHL_Genes_hg38.bed
# small-variant genes (applies_to blank or 'snv'): symbols from twist_genes.tsv
# blank applies_to = the gene filters both tables; coordinates are required only for blank/'sv' rows
# coordinates are 1-based inclusive gene spans; only valid for the reference declared above
gene	chrom	start	end	applies_to	panel	notes
SKI	chr1	2227388	2310213	sv	lymphoid	
ARID1A	chr1	26693236	26782104		lymphoid	TSG
RCC1	chr1	28505943	28539300	sv	lymphoid	
YTHDF2	chr1	28736621	28769775	sv	lymphoid	
LCK	chr1	32251244	32286165	sv	lymphoid	
BCL10	chr1	85265776	85276632	sv	lymphoid	
CD58	chr1	116514534	116571039		lymphoid	TSG
TPM3	chr1	154155308	154194648	sv	lymphoid	
MUC1	chr1	155185824	155192916	sv	lymphoid	
FCRL4	chr1	157573747	157598085	sv	lymphoid	
FCGR2B	chr1	161647243	161678654	sv	lymphoid	
CD247	chr1	167425027	167518640	sv	lymphoid	
DNMT3A	chr2	25227855	25342590		lymphoid	OG
ALK	chr2	29192774	29921586	sv	lymphoid	
BCL11A	chr2	60450520	60554467	sv	lymphoid	
REL	chr2	60881491	60931612		lymphoid	OG
IGK	chr2	88857361	90235368	sv	lymphoid	
CD28	chr2	203706475	203738912		lymphoid	OG
CTLA4	chr2	203853888	203873965	sv	lymphoid	
ICOS	chr2	203936763	203961577	sv	lymphoid	
IKZF2	chr2	212999691	213152456	sv	lymphoid	
PDCD1	chr2	241849884	241858894	sv	lymphoid	
RHOA	chr3	49359139	49412998		lymphoid	TSG/OG; TSG in BL, OG DLBCL/ATLL, both in AITL
FOXP1	chr3	70954693	71583978	sv	lymphoid	
CBLB	chr3	105655461	105869552	sv	lymphoid	
SKIL	chr3	170357342	170396849	sv	lymphoid	
BCL6	chr3	187721377	187745725	sv	lymphoid	
TP63	chr3	189596746	189897276	sv	lymphoid	
RHOH	chr4	40191011	40246967	sv	lymphoid	
BANK1	chr4	101411286	102074812	sv	lymphoid	
TET2	chr4	105145875	105279816		lymphoid	TSG
FER	chr5	108747841	109196841	sv	lymphoid	
ITK	chr5	157142933	157255185	sv	lymphoid	
NPM1	chr5	171387116	171411810	sv	lymphoid	
DUSP22	chr6	291630	351355	sv	lymphoid	
IRF4	chr6	391739	411443		lymphoid	TSG/OG; TSG in immature, OG in mature lymphomas
HLA-A	chr6	29941260	29949572	sv	lymphoid	
HLA-B	chr6	31353872	31367067	sv	lymphoid	
CCND3	chr6	41934933	42050357		lymphoid	OG
IBTK	chr6	82169986	82247754	sv	lymphoid	
BACH2	chr6	89926528	90296843	sv	lymphoid	
MAP3K7	chr6	90513573	90587086	sv	lymphoid	
PRDM1	chr6	105992690	106109939		lymphoid	TSG
TRAF3IP2	chr6	111555381	111606906	sv	lymphoid	
FYN	chr6	111660332	111873452		lymphoid	OG
ROS1	chr6	117287353	117425942	sv	lymphoid	
MYB	chr6	135181308	135219173	sv	lymphoid	
TNFAIP3	chr6	137866349	137883314		lymphoid	TSG
ZC3H12D	chr6	149446795	149485014	sv	lymphoid	
LATS1	chr6	149658153	149718105	sv	lymphoid	
CARD11	chr7	2906142	3044228		lymphoid	OG
TRG	chr7	38240024	38368055	sv	lymphoid	
IKZF1	chr7	50303455	50405101		lymphoid	TSG/OG; TSG in B-ALL, ? in mature lymphomas
CDK6	chr7	92604921	92836573	sv	lymphoid	
KMT2E	chr7	104940943	105115019	sv	lymphoid	
TRB	chr7	142299011	142813287	sv	lymphoid	
EZH2	chr7	148807257	148884321		lymphoid	OG
KMT2C	chr7	152134922	152436644	sv	lymphoid	
MYC	chr8	127735434	127742951		lymphoid	OG
