# reference: t2t
# SV genes (applies_to blank or 'sv'): gene spans from NHL_Genes_T2T.bed
# small-variant genes (applies_to blank or 'snv'): symbols from twist_genes.tsv
# blank applies_to = the gene filters both tables; coordinates are required only for blank/'sv' rows
# coordinates are 1-based inclusive gene spans; only valid for the reference declared above
gene	chrom	start	end	applies_to	panel	notes
SKI	chr1	1662797	1746139	sv	lymphoid	
ARID1A	chr1	26531180	26620059		lymphoid	TSG
RCC1	chr1	28347899	28381260	sv	lymphoid	
YTHDF2	chr1	28578612	28611771	sv	lymphoid	
LCK	chr1	32109148	32144081	sv	lymphoid	
BCL10	chr1	85106896	85117748	sv	lymphoid	
CD58	chr1	116524958	116581487		lymphoid	TSG
TPM3	chr1	153292536	153331881	sv	lymphoid	
MUC1	chr1	154325440	154331479	sv	lymphoid	
FCRL4	chr1	156710808	156735121	sv	lymphoid	
FCGR2B	chr1	160991589	161022983	sv	lymphoid	
CD247	chr1	166776368	166870091	sv	lymphoid	
DNMT3A	chr2	25263203	25377928		lymphoid	OG
ALK	chr2	29236229	29965553	sv	lymphoid	
BCL11A	chr2	60456325	60560305	sv	lymphoid	
REL	chr2	60887337	60937448		lymphoid	OG
IGK	chr2	88866370	90790947	sv	lymphoid	
CD28	chr2	204188394	204220837		lymphoid	OG
CTLA4	chr2	204335773	204355847	sv	lymphoid	
ICOS	chr2	204418652	204443466	sv	lymphoid	
IKZF2	chr2	213480525	213633302	sv	lymphoid	
PDCD1	chr2	242354814	242360440	sv	lymphoid	
RHOA	chr3	49388512	49442377		lymphoid	TSG/OG; TSG in BL, OG DLBCL/ATLL, both in AITL
FOXP1	chr3	70991193	71623253	sv	lymphoid	
CBLB	chr3	108373636	108587854	sv	lymphoid	
SKIL	chr3	173141994	173181517	sv	lymphoid	
BCL6	chr3	190538887	190563234	sv	lymphoid	
TP63	chr3	192413470	192713713	sv	lymphoid	
RHOH	chr4	40161112	40217041	sv	lymphoid	
BANK1	chr4	104726001	105389016	sv	lymphoid	
TET2	chr4	108456807	108590759		lymphoid	TSG
FER	chr5	109250458	109700301	sv	lymphoid	
ITK	chr5	157661876	157774113	sv	lymphoid	
NPM1	chr5	171927442	171952138	sv	lymphoid	
DUSP22	chr6	146566	206310	sv	lymphoid	
IRF4	chr6	250123	269771		lymphoid	TSG/OG; TSG in immature, OG in mature lymphomas
